Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,lat,lng,Rural Versus Urban,CCN Facility Type,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Net Patient Revenue,Net Income,Wage-Related Costs (Core),Total Salaries (adjusted),Contract Labor,Rev Per FTE,CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev/Discharge,Rev Per Bed,Rev Per Bed Days,Discharges Per Bed,Discharges Per Bed Days,Discharge/FTE,Net Income %,Net Income Score,Labor %,Overhead %,Depreciation %,LbrExp/FTE,Overhead Exp Per Bed,Pacesetter Group
310050,SAINT CLARES HOSPITAL- DENVILLE,25 POCONO ROAD,DENVILLE,NJ,07834,40.8949198,-74.46544449999998,U,STH,10/01/2015,12/31/2015,1808.86,325.0,29900.0,4061.0,"$79,562,846",$8399912,"$6,653,957","$28,104,804","$964,040","$43,985",1.0,1.0,60.9156%,39.0844%,1.8000%,1.8000%,"$19,592","$244,809","$2,661",12.50,0.14,12.50,10.5576%,2,43.6872%,54.1184%,3.4317%,"$19,216","$132,487",2nd Quartile
340119,STANLY REGIONAL MEDICAL CENTER,301 YADKIN STREET,ALBEMARLE,NC,28001,35.3644974,-80.1950037,U,STH,01/01/2016,02/29/2016,236.6,97.0,5820.0,627.0,"$12,331,075",$-1275933,"$1,945,347","$5,390,844","$26,649","$52,118",1.0,1.0,31.2861%,68.7139%,0.8871%,0.8871%,"$19,667","$127,124","$2,119",6.46,0.11,6.46,-10.3473%,3,59.4935%,70.8396%,10.7413%,"$31,007","$90,055",4th Quartile
110018,PIEDMONT NEWTON HOSPITAL,5126 HOSPITAL DRIVE,COVINGTON,GA,30209,33.6016619,-83.8474672,U,STH,01/01/2016,06/30/2016,587.78,87.0,15834.0,2297.0,"$35,228,726",$9005637,"$3,580,870","$17,466,367","$2,862,032","$59,935",1.0,1.0,33.3188%,66.6812%,8.9889%,8.9889%,"$15,337","$404,928","$2,225",26.40,0.15,26.40,25.5633%,1,59.7445%,67.2807%,7.6508%,"$35,808","$272,438",1st Quartile
380021,TUALITY HEALTHCARE,335 S. E. 8TH,HILLSBORO,OR,97123,45.5195909,-122.9782249,U,STH,10/01/2015,06/30/2016,689.46,194.0,53156.0,2866.0,"$121,973,500",$-11557969,"$12,456,846","$66,750,727","$415,270","$176,912",1.0,1.0,30.3103%,69.6897%,1.3154%,1.3154%,"$42,559","$628,729","$2,295",14.77,0.05,14.77,-9.4758%,3,64.9383%,58.7063%,3.8274%,"$114,883","$369,104",4th Quartile
100014,BERT FISH MEDICAL CENTER,401 PALMETTO STREET,NEW SMYRNA BEACH,FL,32168-,29.020255199999998,-80.92175329999998,U,STH,10/01/2015,03/31/2016,287.2,112.0,20496.0,2373.0,"$46,752,831",$-1025979,"$4,506,987","$16,718,008","$379,326","$162,788",1.0,1.0,42.0417%,57.9583%,3.7466%,3.7466%,"$19,702","$417,436","$2,281",21.19,0.12,21.19,-2.1945%,2,45.3983%,75.9357%,8.2304%,"$73,903","$316,983",3rd Quartile
50747,SOUTH COAST GLOBAL MEDICAL CENTER,2710 SOUTH BRISTOL STREET,SANTA ANA,CA,82701-,33.7104961,-117.8859275,U,STH,04/01/2016,08/31/2016,267.7,109.0,16677.0,1224.0,"$23,325,258",$1353046,"$2,615,425","$11,818,040","$16,800","$87,132",0.0,1.0,66.9297%,33.0703%,0.1783%,0.1783%,"$19,057","$213,993","$1,399",11.23,0.07,11.23,5.8008%,2,61.8791%,47.1951%,2.7854%,"$53,917","$100,994",2nd Quartile
50746,ORANGE COUNTY GLOBAL MEDICAL CENTER,1001 N TUSTIN AVENUE,SANTA ANA,CA,92705-3502,33.7542839,-117.8328006,U,STH,04/01/2016,08/31/2016,884.6,228.0,34884.0,3508.0,"$83,575,385",$21351174,"$8,316,783","$29,032,822","$989,552","$94,478",0.0,1.0,70.6571%,29.3429%,0.0928%,0.0928%,"$23,824","$366,559","$2,396",15.39,0.10,15.39,25.5472%,1,44.6897%,40.3458%,0.2223%,"$42,222","$147,891",1st Quartile
100090,FLAGLER HOSPITAL,400 HEALTH PARK BLVD,ST AUGUSTINE,FL,32086,29.8630529,-81.3171898,R,STH,10/01/2015,09/30/2016,1573.3,335.0,122613.0,14106.0,"$226,574,746",$6360440,"$21,382,857","$84,680,386","$479,322","$144,012",1.0,0.0,60.0915%,39.9085%,3.5757%,3.5757%,"$16,062","$676,343","$1,848",42.11,0.12,42.11,2.8072%,2,46.8116%,67.4926%,8.1361%,"$67,415","$456,481",3rd Quartile
450620,DIMMIT REGIONAL HOSPITAL DISTRICT,70440 SPIRAL DRIVE,CARRIZO SPRINGS,TX,78834-,28.521929200000002,-99.86061070000001,R,STH,10/01/2015,09/30/2016,181.75,35.0,12810.0,906.0,"$9,792,549",$-1368624,"$2,399,622","$9,010,713","$1,182,195","$53,879",0.0,0.0,17.2522%,82.7478%,17.7810%,17.7810%,"$10,809","$279,787",$764,25.89,0.07,25.89,-13.9762%,3,116.5206%,109.7447%,7.5303%,"$62,780","$307,051",4th Quartile
10005,MARSHALL MEDICAL CENTER - SOUTH,2505 U.S. HIGHWAY 431,BOAZ,AL,35957-,34.222103000000004,-86.1609084,R,STH,10/01/2015,09/30/2016,1113.2,204.0,74664.0,9406.0,"$152,458,646",$8936845,"$13,293,587","$55,182,574","$2,145,949","$136,955",1.0,0.0,24.6069%,75.3931%,1.1251%,1.1251%,"$16,209","$747,346","$2,042",46.11,0.13,46.11,5.8618%,2,44.9146%,65.0874%,5.9593%,"$61,513","$486,428",2nd Quartile
100092,WUESTOFF MEDICAL CENTER - ROCKLEDGE,110 LONGWOOD AVENUE,ROCKLEDGE,FL,32955,28.3353563,-80.7227819,U,STH,10/01/2015,09/30/2016,829.83,274.0,100284.0,9873.0,"$163,897,542",$7423471,"$11,818,448","$56,262,735","$2,087,062","$197,507",1.0,1.0,52.5350%,47.4650%,0.0259%,0.0259%,"$16,601","$598,166","$1,634",36.03,0.10,36.03,4.5293%,2,41.5389%,61.5824%,3.8185%,"$82,042","$368,365",2nd Quartile
100105,INDIAN RIVER MEMORIAL HOSPITA.L,1000 36TH STREET,VERO BEACH,FL,32960,27.658355699999998,-80.39376429999999,U,STH,10/01/2015,09/30/2016,1301.97,310.0,113460.0,12616.0,"$219,710,991",$-3931351,"$15,985,765","$113,208,425","$2,882,719","$168,753",1.0,1.0,50.4341%,49.5659%,0.2967%,0.2967%,"$17,415","$708,745","$1,936",40.70,0.11,40.70,-1.7893%,2,58.8019%,58.5335%,5.8621%,"$99,230","$414,853",3rd Quartile
291313,BANNER CHURCHILL COMMUNITY HOSPITAL,801 EAST WILLIAMS,FALLON,NV,89406,39.476612100000004,-118.76624209999999,R,CAH,10/12/2015,12/31/2015,232.0,25.0,2025.0,350.0,"$8,934,338",$1111309,"$644,618","$3,316,362","$51,129","$38,510",1.0,0.0,29.2338%,70.7662%,2.9296%,2.9296%,"$25,527","$357,374","$4,412",14.00,0.17,14.00,12.4386%,1,44.3343%,51.8066%,4.1623%,"$17,073","$185,143",1st Quartile
110029,NORTHEAST GEORGIA MEDICAL CENTER,743 SPRING STREET NE,GAINESVILLE,GA,30501-3715,34.3039749,-83.81967519999998,U,STH,10/01/2015,09/30/2016,4673.75,518.0,189588.0,31950.0,"$1,024,015,734",$45861485,"$66,050,342","$455,999,845","$6,084,597","$219,099",1.0,1.0,46.7251%,53.2749%,2.5764%,2.5764%,"$32,051","$1,976,864","$5,401",61.68,0.17,61.68,4.4786%,2,50.9807%,55.4023%,6.3140%,"$111,698","$1,095,228",2nd Quartile
50714,SUTTER MATERNITY & SURGERY CENTER,2900 CHANTICLEER AVENUE,SANTA CRUZ,CA,95065-,36.987682,-121.9774604,U,STH,08/01/2016,12/31/2016,217.7,30.0,4590.0,610.0,"$34,273,844",$4510204,"$3,164,574","$11,145,964","$278,064","$157,436",0.0,1.0,30.9353%,69.0647%,0.9922%,0.9922%,"$56,187","$1,142,461","$7,467",20.33,0.13,20.33,13.1593%,1,41.7535%,61.9433%,7.3785%,"$65,735","$707,678",1st Quartile
50007,MILLS PENINSULA MEDICAL CENTER,1783 EL CAMINO REAL,BURLINGAME,CA,94010-,37.5944704,-122.38330330000001,U,STH,08/01/2016,12/31/2016,1587.71,241.0,36873.0,4506.0,"$246,381,340",$46762506,"$20,505,091","$78,866,487","$2,716,390","$155,180",0.0,1.0,53.0777%,46.9223%,0.5959%,0.5959%,"$54,679","$1,022,329","$6,682",18.70,0.12,18.70,18.9797%,1,40.3324%,59.9755%,5.6174%,"$62,588","$613,147",1st Quartile
370149,ST ANTHONY SHAWNEE HOSPITAL,1102 WEST MACARTHUR,SHAWNEE,OK,74801-,35.3628951,-96.93751929999999,R,STH,01/01/2016,12/31/2016,622.35,77.0,28182.0,3766.0,"$93,493,907",$-3635852,"$7,658,040","$36,943,634","$924,426","$150,227",1.0,0.0,21.3303%,78.6697%,1.9799%,1.9799%,"$24,826","$1,214,207","$3,318",48.91,0.13,48.91,-3.8889%,3,47.7054%,81.9820%,5.9565%,"$71,667","$995,431",4th Quartile
