Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev Per Discharge,Rev Per Bed,Rev Per Bed Days,Rev Per FTE,Discharges Per Bed,Discharges Per Bed Days,Discharges Per FTE,Net Income %,Net Income Score,Labor %,Overhead %,Depreciation %,Labor Exp Per FTE,Overhead Exp Per Bed,lat,lng
510013,REYNOLDS MEMORIAL HOSPITAL,800 WHEELING AVENUE,GLEN DALE,WV,26038,1.0,1.0,0.3118812882590329,0.6881187117409671,0.0030804457027911003,0.0030804457027911003,19670.239080459767,122236.4857142857,1328.6574534161489,26564.89909965849,6.2142857142857135,0.06754658385093168,6.2142857142857135,0.3083950618438217,1,0.7151155710581619,0.6274063133359528,0.03145097898055689,18996.972989754733,76691.94285714286,39.946236400000004,-80.7529663
510013,REYNOLDS MEMORIAL HOSPITAL,800 WHEELING AVENUE,GLEN DALE,WV,26038,1.0,1.0,0.3118812882590329,0.6881187117409671,0.0030804457027911003,0.0030804457027911003,19670.239080459767,122236.4857142857,1328.6574534161489,26564.89909965849,6.2142857142857135,0.06754658385093168,6.2142857142857135,0.3083950618438217,1,0.7151155710581619,0.6274063133359528,0.03145097898055689,18996.972989754733,76691.94285714286,39.946236400000004,-80.7529663
340106,SANDHILLS REGIONAL MEDICAL CENTER,1000 WEST HAMLET AVE,HAMLET,NC,28345,1.0,0.0,0.3257304662745342,0.6742695337254658,0.0010752366291634048,0.0010752366291634048,16873.36224489796,51674.671875,847.125768442623,121408.92070484582,3.0625,0.050204918032786885,3.0625,-0.33704253685694063,3,0.5099282500281962,0.9248822032312132,0.07349617302238555,61909.838472834075,47792.984375,34.9016124,-79.7085611
340106,SANDHILLS REGIONAL MEDICAL CENTER,1000 WEST HAMLET AVE,HAMLET,NC,28345,1.0,0.0,0.3257304662745342,0.6742695337254658,0.0010752366291634048,0.0010752366291634048,16873.36224489796,51674.671875,847.125768442623,121408.92070484582,3.0625,0.050204918032786885,3.0625,-0.33704253685694063,3,0.5099282500281962,0.9248822032312132,0.07349617302238555,61909.838472834075,47792.984375,34.9016124,-79.7085611
250025,GILMORE MEMORIAL REGIONAL MEDICAL CE,1105 EARL FRYE BLVD,AMORY,MS,38821,1.0,0.0,0.3647629563863023,0.6352370436136977,0.0009050415719253343,0.0009050415719253343,15444.529411764706,132660.37894736842,1105.503157894737,52406.58682634732,8.589473684210526,0.07157894736842105,8.589473684210526,-0.13242640328258878,3,0.4141906170215737,0.826682872671458,0.1192656896089865,21706.316533599467,109668.06315789475,33.9765086,-88.4767374
250025,GILMORE MEMORIAL REGIONAL MEDICAL CE,1105 EARL FRYE BLVD,AMORY,MS,38821,1.0,0.0,0.3647629563863023,0.6352370436136977,0.0009050415719253343,0.0009050415719253343,15444.529411764706,132660.37894736842,1105.503157894737,52406.58682634732,8.589473684210526,0.07157894736842105,8.589473684210526,-0.13242640328258878,3,0.4141906170215737,0.826682872671458,0.1192656896089865,21706.316533599467,109668.06315789475,33.9765086,-88.4767374
160001,UNITYPOINT HEALTH-MARSHALLTOWN,3 SOUTH 4TH AVENUE,MARSHALLTOWN,IA,50158,1.0,0.0,0.2769169383895332,0.7230830616104669,0.0007797527498110947,0.0007797527498110947,29768.44303797468,383952.1632653061,3199.6013605442176,49737.3658330249,12.89795918367347,0.10748299319727893,12.89795918367347,-0.29146216981962464,3,0.4788707734424399,0.9118697078335014,0.043938881416775134,23817.77084545022,350114.3469387755,42.0495223,-92.9069853
160001,UNITYPOINT HEALTH-MARSHALLTOWN,3 SOUTH 4TH AVENUE,MARSHALLTOWN,IA,50158,1.0,0.0,0.2769169383895332,0.7230830616104669,0.0007797527498110947,0.0007797527498110947,29768.44303797468,383952.1632653061,3199.6013605442176,49737.3658330249,12.89795918367347,0.10748299319727893,12.89795918367347,-0.29146216981962464,3,0.4788707734424399,0.9118697078335014,0.043938881416775134,23817.77084545022,350114.3469387755,42.0495223,-92.9069853
380029,SILVERTON HOSPITAL,342 FAIRVIEW STREET,SILVERTON,OR,97381-1993,1.0,1.0,0.3474107646958763,0.6525892353041237,0.04073341078396228,0.04073341078396228,34343.97538677919,1017440.2708333335,5590.331158424909,70460.86912611274,29.625,0.16277472527472528,29.625,-0.05041870496370047,3,0.7349307749085107,0.5330902000328316,0.03144424960408712,51783.86114758119,542387.4375,45.0045232,-122.7899875
380029,SILVERTON HOSPITAL,342 FAIRVIEW STREET,SILVERTON,OR,97381-1993,1.0,1.0,0.3474107646958763,0.6525892353041237,0.04073341078396228,0.04073341078396228,34343.97538677919,1017440.2708333335,5590.331158424909,70460.86912611274,29.625,0.16277472527472528,29.625,-0.05041870496370047,3,0.7349307749085107,0.5330902000328316,0.03144424960408712,51783.86114758119,542387.4375,45.0045232,-122.7899875
