Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,lat,lng,Rural Versus Urban,CCN Facility Type,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Net Patient Revenue,Net Income,Wage-Related Costs (Core),Total Salaries (adjusted),Contract Labor,Rev Per FTE,CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev/Discharge,Rev Per Bed,Rev Per Bed Days,Discharges Per Bed,Discharges Per Bed Days,Discharge/FTE,Net Income %,Net Income Score,Labor %,Overhead %,Depreciation %,LbrExp/FTE,Overhead Exp Per Bed,Pacesetter Group
310050,SAINT CLARES HOSPITAL- DENVILLE,25 POCONO ROAD,DENVILLE,NJ,07834,40.8949198,-74.46544449999998,U,STH,10/01/2015,12/31/2015,1808.86,325.0,29900.0,4061.0,"$79,562,846",$8399912,"$6,653,957","$28,104,804","$964,040","$43,985",1.0,1.0,60.9156%,39.0844%,1.8000%,1.8000%,"$19,592","$244,809","$2,661",12.50,0.14,12.50,10.5576%,2,43.6872%,54.1184%,3.4317%,"$19,216","$132,487",2nd Quartile
340119,STANLY REGIONAL MEDICAL CENTER,301 YADKIN STREET,ALBEMARLE,NC,28001,35.3644974,-80.1950037,U,STH,01/01/2016,02/29/2016,236.6,97.0,5820.0,627.0,"$12,331,075",$-1275933,"$1,945,347","$5,390,844","$26,649","$52,118",1.0,1.0,31.2861%,68.7139%,0.8871%,0.8871%,"$19,667","$127,124","$2,119",6.46,0.11,6.46,-10.3473%,3,59.4935%,70.8396%,10.7413%,"$31,007","$90,055",4th Quartile
174020,COTTONWOOD SPRINGS,13351 S ARAPAHO DR.,OLATHE,KS,66062,38.885782299999995,-94.7677833,U,PH,11/05/2015,12/31/2015,73.96,72.0,4104.0,105.0,"$696,073",$-675593,$nan,$nan,$nan,"$9,411",0.0,1.0,85.2646%,14.7354%,nan%,nan%,"$6,629","$9,668",$170,1.46,0.03,1.46,-97.0578%,3,nan%,117.4615%,15.0685%,$nan,"$11,356",4th Quartile
110018,PIEDMONT NEWTON HOSPITAL,5126 HOSPITAL DRIVE,COVINGTON,GA,30209,33.6016619,-83.8474672,U,STH,01/01/2016,06/30/2016,587.78,87.0,15834.0,2297.0,"$35,228,726",$9005637,"$3,580,870","$17,466,367","$2,862,032","$59,935",1.0,1.0,33.3188%,66.6812%,8.9889%,8.9889%,"$15,337","$404,928","$2,225",26.40,0.15,26.40,25.5633%,1,59.7445%,67.2807%,7.6508%,"$35,808","$272,438",1st Quartile
380021,TUALITY HEALTHCARE,335 S. E. 8TH,HILLSBORO,OR,97123,45.5195909,-122.9782249,U,STH,10/01/2015,06/30/2016,689.46,194.0,53156.0,2866.0,"$121,973,500",$-11557969,"$12,456,846","$66,750,727","$415,270","$176,912",1.0,1.0,30.3103%,69.6897%,1.3154%,1.3154%,"$42,559","$628,729","$2,295",14.77,0.05,14.77,-9.4758%,3,64.9383%,58.7063%,3.8274%,"$114,883","$369,104",4th Quartile
100014,BERT FISH MEDICAL CENTER,401 PALMETTO STREET,NEW SMYRNA BEACH,FL,32168-,29.020255199999998,-80.92175329999998,U,STH,10/01/2015,03/31/2016,287.2,112.0,20496.0,2373.0,"$46,752,831",$-1025979,"$4,506,987","$16,718,008","$379,326","$162,788",1.0,1.0,42.0417%,57.9583%,3.7466%,3.7466%,"$19,702","$417,436","$2,281",21.19,0.12,21.19,-2.1945%,2,45.3983%,75.9357%,8.2304%,"$73,903","$316,983",3rd Quartile
224041,SOUTHCOAST BEHAVIORAL HEALTH,581 FAUNCE CORNER ROAD,DARTMOUTH,MA,02747-1242,41.674167,-70.98532,U,PH,11/20/2015,12/31/2015,73.9,120.0,5040.0,416.0,"$1,694,372",$-4388439,$nan,$nan,$nan,"$22,928",1.0,1.0,100.0000%,nan%,nan%,nan%,"$4,073","$14,120",$336,3.47,0.08,3.47,-259.0009%,3,nan%,177.3253%,21.7105%,$nan,"$25,038",4th Quartile
50745,CHAPMAN GLOBAL MEDICAL CENTER,2601 E CHAPMAN AVENUE,ORANGE,CA,92869-3206,33.788633000000004,-117.8258852,U,STH,04/01/2016,08/31/2016,198.39,75.0,11475.0,746.0,"$19,576,831",$1249779,"$2,451,729","$7,647,446",$nan,"$98,679",0.0,1.0,74.4603%,25.5397%,0.1270%,0.1270%,"$26,242","$261,024","$1,706",9.95,0.07,9.95,6.3840%,2,51.5874%,55.3988%,1.8792%,"$50,906","$144,604",2nd Quartile
50747,SOUTH COAST GLOBAL MEDICAL CENTER,2710 SOUTH BRISTOL STREET,SANTA ANA,CA,82701-,33.7104961,-117.8859275,U,STH,04/01/2016,08/31/2016,267.7,109.0,16677.0,1224.0,"$23,325,258",$1353046,"$2,615,425","$11,818,040","$16,800","$87,132",0.0,1.0,66.9297%,33.0703%,0.1783%,0.1783%,"$19,057","$213,993","$1,399",11.23,0.07,11.23,5.8008%,2,61.8791%,47.1951%,2.7854%,"$53,917","$100,994",2nd Quartile
232039,PIONEER SPECIALTY HOSPITAL,50 N PERRY STREET SIXTH FLOOR,PONTIAC,MI,48342-2217,42.6385262,-83.2908175,U,LTCH,10/01/2015,09/30/2016,49.5,30.0,10980.0,173.0,"$5,865,414",$-439703,$nan,$nan,$nan,"$118,493",1.0,1.0,100.0000%,nan%,nan%,nan%,"$33,904","$195,514",$534,5.77,0.02,5.77,-7.4965%,3,nan%,51.8998%,1.8682%,$nan,"$101,471",4th Quartile
250049,SOUTH PIKE HOSPITAL ASSOCIATION,N. MYRTLE STREET,MAGNOLIA,MS,39652,31.1474118,-90.46171109999999,R,STH,10/01/2015,02/29/2016,59.23,37.0,5624.0,287.0,"$1,934,044",$-300077,"$85,313","$952,108",$nan,"$32,653",1.0,0.0,76.8388%,23.1612%,3.4554%,3.4554%,"$6,739","$52,271",$344,7.76,0.05,7.76,-15.5155%,3,53.6400%,68.5063%,3.3095%,"$17,515","$35,809",4th Quartile
250049,BEACHAM MEMORIAL HOSPITAL,N. MYRTLE STREET,MAGNOLIA,MS,39652,31.1474118,-90.46171109999999,R,STH,03/01/2016,06/30/2016,45.6,37.0,4514.0,205.0,"$1,122,232",$-632363,"$61,541","$710,038",$nan,"$24,610",1.0,0.0,82.0607%,17.9393%,5.9257%,5.9257%,"$5,474","$30,331",$249,5.54,0.05,5.54,-56.3487%,3,68.7540%,93.6368%,5.8072%,"$16,921","$28,401",4th Quartile
41327,BRADLEY COUNTY MEDICAL CENTER,404 S BRADLEY,WARREN,AR,71671-,33.6101273,-92.0593201,R,CAH,10/01/2015,09/30/2016,152.19,25.0,9150.0,833.0,"$21,471,076",$1827340,$nan,$nan,$nan,"$141,081",1.0,0.0,28.4035%,71.5965%,1.4244%,1.4244%,"$25,776","$858,843","$2,347",33.32,0.09,33.32,8.5107%,2,nan%,54.9690%,4.1881%,$nan,"$472,098",2nd Quartile
50746,ORANGE COUNTY GLOBAL MEDICAL CENTER,1001 N TUSTIN AVENUE,SANTA ANA,CA,92705-3502,33.7542839,-117.8328006,U,STH,04/01/2016,08/31/2016,884.6,228.0,34884.0,3508.0,"$83,575,385",$21351174,"$8,316,783","$29,032,822","$989,552","$94,478",0.0,1.0,70.6571%,29.3429%,0.0928%,0.0928%,"$23,824","$366,559","$2,396",15.39,0.10,15.39,25.5472%,1,44.6897%,40.3458%,0.2223%,"$42,222","$147,891",1st Quartile
191318,RIVERLAND MEDICAL CENTER,1700 EE WALLACE BOULEVARD NORTH,FERRIDAY,LA,71334,31.646958299999998,-91.55484179999999,R,CAH,10/01/2015,09/30/2016,147.35,25.0,9150.0,775.0,"$14,447,821",$1232858,$nan,$nan,$nan,"$98,051",1.0,0.0,28.1684%,71.8316%,nan%,nan%,"$18,642","$577,913","$1,579",31.00,0.08,31.00,8.5332%,2,nan%,67.6734%,2.9147%,$nan,"$391,093",2nd Quartile
361319,SELBY GENERAL HOSPITAL,1106 COLEGATE DRIVE,MARIETTA,OH,45750,39.440461,-81.44446479999998,R,CAH,10/01/2015,09/30/2016,194.12,25.0,9150.0,1209.0,"$48,357,207",$5765295,$nan,$nan,$nan,"$249,110",1.0,0.0,53.1945%,46.8055%,0.2371%,0.2371%,"$39,998","$1,934,288","$5,285",48.36,0.13,48.36,11.9223%,1,nan%,62.5507%,4.4041%,$nan,"$1,209,910",1st Quartile
100090,FLAGLER HOSPITAL,400 HEALTH PARK BLVD,ST AUGUSTINE,FL,32086,29.8630529,-81.3171898,R,STH,10/01/2015,09/30/2016,1573.3,335.0,122613.0,14106.0,"$226,574,746",$6360440,"$21,382,857","$84,680,386","$479,322","$144,012",1.0,0.0,60.0915%,39.9085%,3.5757%,3.5757%,"$16,062","$676,343","$1,848",42.11,0.12,42.11,2.8072%,2,46.8116%,67.4926%,8.1361%,"$67,415","$456,481",3rd Quartile
251333,PEARL RIVER COUNTY HOSPITAL,305 WEST MOODY STREET,POPLARVILLE,MS,39470,30.856175899999997,-89.541876,R,CAH,10/01/2015,09/30/2016,112.61,24.0,5144.0,23.0,"$18,742,478",$-64498,$nan,$nan,$nan,"$166,437",1.0,0.0,45.9778%,54.0222%,0.2365%,0.2365%,"$814,890","$780,937","$3,644",0.96,0.00,0.96,-0.3441%,2,nan%,52.9013%,1.2067%,$nan,"$413,126",3rd Quartile
