Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev Per Discharge,Rev Per Bed,Rev Per Bed Days,Rev Per FTE,Discharges Per Bed,Discharges Per Bed Days,Discharges Per FTE,Net Income %,Net Income Score
510013,REYNOLDS MEMORIAL HOSPITAL,800 WHEELING AVENUE,GLEN DALE,WV,26038,1.0,1.0,0.31188128825903294,0.6881187117409671,0.0030804457027911003,0.0030804457027911003,19670.23908045977,122236.4857142857,1328.657453416149,26564.89909965849,6.214285714285714,0.06754658385093168,6.214285714285714,0.3083950618438217,1
340106,SANDHILLS REGIONAL MEDICAL CENTER,1000 WEST HAMLET AVE,HAMLET,NC,28345,1.0,2.0,0.3257304662745342,0.6742695337254658,0.0010752366291634048,0.0010752366291634048,16873.36224489796,51674.671875,847.125768442623,121408.92070484582,3.0625,0.050204918032786885,3.0625,-0.33704253685694063,3
110003,MAYO CLINIC HEALTH SYSTEM WAYCROSS,1900 TEBEAU STREET,WAYCROSS,GA,31501,1.0,2.0,0.3912927576451564,0.6087072423548436,0.0167938088095733,0.0167938088095733,22079.254976303317,300562.7612903226,2504.6896774193547,50452.38523267525,13.612903225806452,0.11344086021505376,13.612903225806452,-0.13244368177475596,3
250025,GILMORE MEMORIAL REGIONAL MEDICAL CE,1105 EARL FRYE BLVD,AMORY,MS,38821,1.0,2.0,0.3647629563863023,0.6352370436136977,0.0009050415719253343,0.0009050415719253343,15444.529411764706,132660.37894736842,1105.503157894737,52406.58682634731,8.589473684210526,0.07157894736842105,8.589473684210526,-0.13242640328258878,3
160001,UNITYPOINT HEALTH-MARSHALLTOWN,3 SOUTH 4TH AVENUE,MARSHALLTOWN,IA,50158,1.0,2.0,0.2769169383895332,0.7230830616104669,0.0007797527498110947,0.0007797527498110947,29768.443037974685,383952.1632653061,3199.6013605442176,49737.3658330249,12.89795918367347,0.10748299319727891,12.89795918367347,-0.29146216981962464,3
380029,SILVERTON HOSPITAL,342 FAIRVIEW STREET,SILVERTON,OR,97381-1993,1.0,1.0,0.3474107646958763,0.6525892353041237,0.040733410783962275,0.040733410783962275,34343.97538677919,1017440.2708333334,5590.331158424909,70460.86912611274,29.625,0.16277472527472528,29.625,-0.05041870496370047,3
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,1.0,1.0,0.364418734822044,0.635581265177956,0.0429452389979808,0.0429452389979808,24686.765346103613,846350.7462686567,3100.1858837679733,156208.11955511174,34.28358208955224,0.12558088677491663,34.28358208955224,0.08031407888123727,2
370025,SAINT FRANCIS HOSPITAL MUSKOGEE,300 ROCKEFELLER DRIVE,MUSKOGEE,OK,74401,1.0,2.0,0.5133041358012485,0.4866958641987515,0.01744217668319239,0.01744217668319239,18032.72316384181,120901.21212121213,1328.5847485847487,44957.982956546235,6.704545454545454,0.07367632367632368,6.704545454545454,-0.09164447432664785,3
510039,OHIO VALLEY GENERAL HOSPITAL,2000 EOFF STREET,WHEELING,WV,26003,1.0,1.0,0.40996935887607233,0.5900306411239277,0.00047629837196517703,0.00047629837196517703,35266.95183486238,516853.4789915966,3422.8707217986534,86517.88437192292,14.655462184873949,0.09705604095943013,14.655462184873949,0.2621245941261509,1
50778,LOMA LINDA UNIVERSITY CHILDRENS HOSP,11234 ANDERSON STREET  STE 1836,LOMA LINDA,CA,92354,0.0,1.0,0.8955678006247212,0.10443219937527884,0.0012376995176337686,0.0012376995176337686,29217.526037195996,595424.2186588921,3289.6365671761996,141574.07058236343,20.379008746355684,0.11259120854340157,20.379008746355684,0.13669380451569854,1
110074,PIEDMONT ATHENS REGIONAL MEDICAL CE,1199 PRINCE AVENUE,ATHENS,GA,30306-,1.0,1.0,0.5450642743132103,0.4549357256867897,0.012589822079960868,0.012589822079960868,23276.740697594738,967742.0997150997,3544.8428560992666,133169.775082232,41.57549857549858,0.15229120357325485,41.57549857549858,0.5686071879296254,1
340017,MARGARET R. PARDEE MEMORIAL HOSPITAL,800 NORTH JUSTICE STREET,HENDERSONVILLE,NC,28791-,1.0,1.0,0.32426496099950813,0.6757350390004918,0.005332073162723207,0.005332073162723207,25793.994640605295,1022731.8875,3746.2706501831503,136161.144625933,39.65,0.14523809523809525,39.65,0.0245938662492324,2
100092,WUESTOFF MEDICAL CENTER - ROCKLEDGE,110 LONGWOOD AVENUE,ROCKLEDGE,FL,32955,1.0,1.0,0.5305960392349035,0.4694039607650965,0.0019280924670067488,0.0019280924670067488,16889.400759013282,324843.5839416058,1532.2810563283294,115683.83415648558,19.233576642335766,0.09072441812422531,19.233576642335766,0.09503583431540809,2
670058,EMERUS EMERGENCY HOSPITAL SUGAR LAND,16000 SOUTHWEST FRWY  SUITE 100,SUGAR LAND,TX,77479,0.0,1.0,0.023999056881956006,0.976000943118044,0.0007815715374302677,0.0007815715374302677,122701.5,350575.71428571426,1936.8823993685871,109310.91314031181,2.857142857142857,0.01578531965272297,2.857142857142857,0.039570420899500004,2
670095,EMERUS COMMUNITY HOSPITAL,24429 TOMBALL PARKWAY  SUITE 100,TOMBALL,TX,77375,0.0,1.0,0.02437801555812545,0.9756219844418745,0.001290954215611164,0.001290954215611164,1444280.5,361070.125,1994.8625690607735,106158.06688717383,0.25,0.0013812154696132596,0.25,0.02920312224668269,2
450659,PARK PLAZA HOSPITAL,1313 HERMANN DRIVE,HOUSTON,TX,77004,0.0,1.0,0.6092144851423008,0.3907855148576992,0.032370099052134456,0.032370099052134456,20322.17122302158,318584.41353383457,1502.7566676124272,206088.16634241247,15.676691729323307,0.07394665910058164,15.676691729323307,0.02976510728486474,2
500012,YAKIMA REGIONAL MEDICAL & CARDIAC CE,110 SOUTH NINTH AVENUE,YAKIMA,WA,98902,1.0,1.0,0.4926136695969425,0.5073863304030575,0.01437998157615723,0.01437998157615723,26553.76672694394,118421.23387096774,1910.019901144641,31694.86941506583,4.459677419354839,0.07193028095733611,4.459677419354839,-0.20755956405758474,3
50528,MEMORIAL HOSPITAL - LOS BANOS,520 WEST I STREET,LOS BANOS,CA,93635-,0.0,1.0,0.2508381018315519,0.749161898168448,0.018643286295767413,0.018643286295767413,35319.82226211849,447116.8409090909,3725.9736742424243,86365.25308398086,12.659090909090908,0.10549242424242425,12.659090909090908,0.06829799064623183,2
450754,HAMILTON GENERAL HOSPITAL,400 NORTH BROWN,HAMILTON,TX,76531-,0.0,2.0,0.1881903454495696,0.8118096545504304,0.016324994027938088,0.016324994027938088,20713.017341040464,426589.5238095238,1168.7384213959556,93692.20310620719,20.595238095238095,0.05642530984996738,20.595238095238095,0.039588686793817635,2
100315,VIERA HOSPITAL INC,8745 WICKHAM ROAD,VIERA,FL,32940,1.0,1.0,0.42744054282361754,0.5725594571763825,0.020261115267362944,0.020261115267362944,20164.111088709677,1190642.75,3262.0349315068493,248791.0223880597,59.04761904761905,0.16177429876060012,59.04761904761905,0.13236728049378613,1
10146,JACKSONVILLE MEDICAL CENTER,1701 PELHAM ROAD SOUTH,JACKSONVILLE,AL,36265,1.0,2.0,0.34942610286280434,0.6505738971371957,0.03467864832396698,0.03467864832396698,17329.1997471555,415375.6666666667,1138.0155251141553,109484.00159744409,23.96969696969697,0.06567040265670403,23.96969696969697,-0.16182875567111685,3
450746,KNOX COUNTY HOSPITAL,712 SOUTH FIFTH,KNOX CITY,TX,79529,0.0,2.0,0.02531326969552839,0.9746867303044716,0.013288788935201317,0.013288788935201317,290708.7083333333,498357.78571428574,1365.363796477495,135713.07138688973,1.7142857142857142,0.004696673189823875,1.7142857142857142,0.5010498051528958,1
10034,COMMUNITY HOSPITAL INC.,805 FRIENDSHIP DRIVE,TALLASSEE,AL,36078,1.0,1.0,0.2914475755876831,0.7085524244123169,0.010567181509766847,0.010567181509766847,21563.808365758756,599124.1891891892,1641.436134764902,104092.7638993238,27.783783783783782,0.07611995557201037,27.783783783783782,-0.07828097725531344,3
100266,GULF BREEZE HOSPITAL,1100 GULF BREEZE PARKWAY,GULF BREEZE,FL,32561,1.0,1.0,0.2966131157961519,0.7033868842038481,0.008920079631487407,0.008920079631487407,26138.81564817182,1572752.4307692307,4308.910769230769,223759.29257775735,60.16923076923077,0.1648472075869336,60.16923076923077,0.25915329155232686,1
100117,BAPTIST MEDICAL CENTER-BEACHES,1350 THIRTEENTH AVENUE SOUTH,JACKSONVILLE BEACH,FL,32250,1.0,1.0,0.4877686081441029,0.5122313918558971,0.04862151314552236,0.04862151314552236,17266.571719088937,943394.3185185185,2584.6419685438864,193186.54986727342,54.63703703703704,0.14969051243023845,54.63703703703704,0.14518888621829418,1
10021,DALE MEDICAL CENTER,126 HOSPITAL,OZARK,AL,36360-,1.0,2.0,0.27373873578569097,0.726261264214309,0.014796532433167189,0.014796532433167189,19236.42131616595,349253.4675324675,956.8588151574453,92094.50703743023,18.155844155844157,0.04974203878313467,18.155844155844157,0.0010752061623685132,2
520109,MILE BLUFF MEDICAL CENTER  INC.,1050 DIVISION STREET,MAUSTON,WI,53948-,0.0,2.0,0.20983906371248753,0.7901609362875125,0.011742590784280249,0.011742590784280249,70640.12806026365,1875495.4,5138.3435616438355,203924.69283462,26.55,0.07273972602739726,26.55,-0.01160500047080894,2
250079,SHARKEY-ISSAQUENA COMM HOSPITAL,108 SOUTH FOURTH STREET,ROLLING FORK,MS,39159,1.0,2.0,0.22874945492376467,0.7712505450762354,0.00029918529682537135,0.00029918529682537135,76155.88888888889,1154362.9473684211,3162.6382119682767,304920.005560962,15.157894736842104,0.041528478731074264,15.157894736842104,0.026840413596088724,2
